,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
608,Lamberto Cesari,M,23 September 1910,1910.0,"Bologna, Italy",Italy,12 March 1990,1990.0,"Ann Arbor, Michigan, USA",United States,Ph.D.,Ph.D.,Università di Pisa,Italy,1933.0,49.0,"['49', '27', '47', '35', '34', '28', '40', '36', '01', '93', '26', '73', '46', '42', '78', '65', '58', '31', '30']",1939.0,217.0,1.0,36.0,388.0,"Lamberto Cesari was an Italian mathematician who worked in the United States. He was known for his work on surface area, functions of bounded variation, optimal control and on the stability of dynamical systems."
609,Ernesto Cesàro,M,12 March 1859,1859.0,"Naples, Kingdom of the Two Sicilies (now Italy)",Italy,12 September 1906,1906.0,"Torre Annunziata, Italy",Italy,,,,,,1.0,['01'],1964.0,4.0,,,,Cesàro was an Italian mathematician whose main contributions were to differential geometry and divergent series.
610,Ludolph Van Ceulen,M,28 January 1540,1540.0,"Hildesheim, Germany",Germany,31 December 1610,1610.0,"Leiden, Netherlands",Netherlands,,,,,,,,,,0.0,2.0,141031.0,Ludolph Van Ceulen was a German mathematician who is famed for his calculation of π to 35 places. In Germany π used to be called the Ludolphine number.
611,Giovanni Benedetto Ceva,M,1 September 1647,1647.0,"Milan, Hapsburg Empire (now Italy)",Italy,13 May 1734,1734.0,"Mantua, Hapsburg Empire (now Italy)",Italy,,,,,,,,,,,,,Giovanni Ceva was an Italian mathematician who rediscovered Menelaus's theorem and proved his own well-known theorem.
612,Tommaso Ceva,M,20 December 1648,1648.0,"Milan, Hapsburg Empire (now Italy)",Italy,3 February 1737,1737.0,"Milan, Hapsburg Empire (now Italy)",Italy,,,,,,,,,,,,,"Tommaso Ceva was an Italian Jesuit who worked in geometry, gravity and arithmetic."
613,Qin Jiushao,M,1202,1202.0,"Puzhou (Anyue), Szechwan province, China",China,1261,1261.0,"Meizhou (now Meixian), Guangtong province, China",China,,,,,,,,,,,,,"Qin Jiushao was a Chinese mathematician who wrote an important study Shushu Jiuzang on equations, including the Chinese Remainder Theorem."
614,Zu Chongzhi,M,429,429.0,"Jiankang, (now Nanjing, Kiangsu province), China",China,501,501.0,China,China,,,,,,,,,,,,,"Zu Chongzhi was a Chinese mathematician and astronomer. He introduced the approximation
113
355
to
π which is correct to 6 decimal places."
615,David Gawen Champernowne,M,9 July 1912,1912.0,"Oxford, England",United Kingdom,19 August 2000,2000.0,"Budleigh Salterton, Devon, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1936.0,62.0,"['62', '60']",1933.0,3.0,1.0,2.0,16.0,David Champernowne was an English economist and mathematician.
616,Jean-François Champollion,M,23 December 1790,1790.0,"Figeac, Lot, France",France,4 March 1832,1832.0,"Paris, France",France,,,,,,,,,,,,,Jean-François Champollion founded scientific Egyptology and played a major role in the decipherment of Egyptian hieroglyphics and the demotic script.
617,Subrahmanyan Chandrasekhar,M,19 October 1910,1910.0,"Lahore, India (now Pakistan)",India,21 August 1995,1995.0,"Chicago, Illinois, USA",United States,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1933.0,85.0,"['85', '83', '76', '01', '45', '78', '65', '82', '36', '60', '34', '84', '81', '73', '70', '69', '41']",1939.0,277.0,2.0,17.0,354.0,Chandrasekhar was awarded the Physics Nobel prize for his theoretical work on the gravitational collapse of stars.
618,Zhang Qiujian,M,about 430,430.0,China,China,about 490,490.0,China,China,,,,,,,,,,,,,Zhang Qiujian was a Chinese mathematician who wrote the text Zhang Qiujian suanjing (Zhang Qiujian's Mathematical Manual).
619,Zhang Heng,M,AD 78,78.0,"Nan-yang, China",China,AD 139,139.0,China,China,,,,,,,,,,,,,"Zhang Heng was a Chinese mathematician, astronomer and geographer. He became chief astrologer and minister under the Emperor An'ti of China."
620,Sun-Yung Alice Chang,F,24 March 1948,1948.0,"Xi-an, China",China,,,,,Ph.D.,Ph.D.,"University of California, Berkeley",United States,1974.0,53.0,"['53', '58', '46', '35', '01', '42', '32', '52', '49', '30', '47', '31']",1974.0,106.0,1.0,19.0,47.0,Sun-Yung Alice Chang is a Chinese born American mathematician whose research interests include the study of certain geometric types of nonlinear partial differential equations and the related extremal inequalities and problems in isospectral geometry.
621,Sergei Alekseevich Chaplygin,M,5 April 1869,1869.0,"Ranenburg (now Chaplygin), Russia",Russia,8 October 1942,1942.0,"Novosibirsk, USSR",Russia,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1902.0,70.0,"['70', '01', '76']",1944.0,11.0,1.0,2.0,272.0,Sergei Chaplygin was a Russian physicist and mathematician who did important work in hydrodynamics and aerodynamics.
622,Sydney Chapman,M,29 January 1888,1888.0,"Eccles (near Manchester), England",United Kingdom,16 June 1970,1970.0,"Boulder, Colorado, USA",United States,B.A.,B.A.,University of Cambridge,United Kingdom,1911.0,82.0,"['82', '79', '01', '76', '78', '65']",1939.0,15.0,2.0,3.0,246.0,"Sydney Chapman was a British mathematician and geophysicist who worked on gas dynamics, geomagnetism and the ionosphere."
623,Michel Chasles,M,15 November 1793,1793.0,"Epernon, France",France,18 December 1880,1880.0,"Paris, France",France,Ph.D.,Ph.D.,École Polytechnique,France,1814.0,1.0,['01'],1989.0,2.0,1.0,3.0,59088.0,Michel Chasles worked on algebraic and projective geometry.
624,Albert Châtelet,M,24 October 1883,1883.0,"Valhuon, Pas-de-Calais, France",France,30 June 1960,1960.0,"Paris, France",France,Ph.D.,Ph.D.,Université de Paris,France,1911.0,10.0,"['10', '09', '13', '20', '01']",1946.0,20.0,1.0,5.0,1112.0,Albert Châtelet was a French politician and mathematician who researched in number theory and in algebra. He stood for the post of French president but was defeated by de Gaulle.
625,Gabrielle Émilie Le Tonnelier de Breteuil Marquise du Châtelet,F,17 December 1706,1706.0,"Paris, France",France,10 September 1749,1749.0,"Lunéville, France",France,,,,,,,,,,,,,Émilie du Châtelet was a French noblewoman who became important to mathematics as the translator of Newton's Principia.
626,William Chauvenet,M,24 May 1820,1820.0,"Milford, Pennsylvania, USA",United States,13 December 1870,1870.0,"St Paul, Minnesota, USA",United States,,,,,,,,,,,,,"William Chauvenet was an American professor of mathematics, astronomy, navigation and surveying who was instrumental in the establishment of the U.S. Naval Academy at Annapolis."
627,Marília de Magalhaes Chaves Peixoto,F,24 February 1921,1921.0,"Santana do Livramento, Brazil",Brazil,5 January 1961,1961.0,"Rio de Janeiro, Brazil",Brazil,,,,,,,,,,,,,Marília Chaves Peixoto was the first Brazilian woman to be awarded a Ph.D. in mathematics. In 1951 she was the first Brazilian woman to be elected a member of the Brazilian Academy of Sciences. She made substantial contributions to what is now known as Peixoto's Theorem on the structural stability of dynamical systems.
628,Jean François Chazy,M,15 August 1882,1882.0,"Villefranche-sur-Saône, France",France,9 March 1955,1955.0,"Paris, France",France,,,,,,71.0,"['71', '85', '70', '36', '73', '30', '26', '01']",1911.0,29.0,,,,Jean Chazy was a French mathematician and astronomer who worked on the three body problem.
629,Nikolai Grigorievich Chebotaryov,M,15 June 1894,1894.0,"Kamianets-Podilskyi, Ukraine",Ukraine,2 July 1947,1947.0,"Moscow, USSR",Russia,Ph.D.,Ph.D.,Kiev State University,Ukraine,,9.0,"['09', '01', '30', '41', '27', '20', '10', '15', '13']",1926.0,31.0,1.0,10.0,1333.0,Nikolai Chebotaryov proved his density theorem generalising Dirichlet's theorem on primes in an arithmetical progression.
630,Pafnuty Lvovich Chebyshev,M,16 May 1821,1821.0,"Okatovo, Kaluga Region, Russia",Russia,8 December 1894,1894.0,"St Petersburg, Russia",Russia,Ph.D.,Ph.D.,St. Petersburg State University,Russia,1849.0,1.0,"['01', '71', '60', '53', '10']",1887.0,16.0,1.0,7.0,16720.0,Pafnuty Chebyshev is largely remembered for his investigations in number theory. Chebyshev was also interested in mechanics and is famous for the orthogonal polynomials he invented.
631,Chen Jingrun,M,22 May 1933,1933.0,"Fuzhou, Fujian province, China",China,19 March 1996,1996.0,"Beijing, China",China,Ph.D.,Ph.D.,Chinese Academy of Sciences,China,,,,,,1.0,3.0,3.0,"Chen Jingrun was a Chinese mathematician who made outstanding advances in the study of Goldbach's Conjecture, proving that every sufficiently large integer can be represented as the sum of a prime and the product of at most two primes."
632,Kuo Tsai Chen,M,15 July 1923,1923.0,"Chekiang (now Zhejiang), China",China,August 1987,1987.0,"Urbana, USA",United States,Ph.D.,Ph.D.,Columbia University,United States,1950.0,58.0,"['58', '57', '55', '53', '22', '20', '34', '13', '12', '56', '18', '16', '14', '01']",1951.0,59.0,1.0,5.0,39.0,Kuo-Tsai Chen was a Chinese-born mathematician who worked in algebraic topology and analysis.
633,Elliott Ward Cheney,M,28 June 1929,1929.0,"Gettysburg, Pennsylvania, USA",United States,13 July 2016,2016.0,"Austin, Texas, USA",United States,Ph.D.,Ph.D.,University of Kansas,United States,1957.0,41.0,"['41', '65', '46', '42', '52', '43', '01', '00']",1957.0,105.0,1.0,17.0,48.0,Ward Cheney was an American mathematician who was one of the pioneers in the fields of approximation theory and numerical analysis.
634,Cheng Dawei,M,1533,1533.0,China,China,1606,1606.0,China,China,,,,,,,,,,,,,Cheng Dawei was a Chinese mathematician who published the Suanfa tong zong (General source of computational methods).
635,Rebeca Cherep de Guber,F,2 July 1926,1926.0,"Avellaneda, Buenos Aires, Argentina",Argentina,25 August 2020,2020.0,"Buenos Aires, Argentina",Argentina,,,,,,53.0,['53'],1951.0,3.0,,,,Rebeca Guber was one of the first Argentinian women mathematicians. She played a major role in the development of computing in Argentina. She also made important contributions to education particularly teaching science in schools.
636,Shiing-shen Chern,M,26 October 1911,1911.0,"Chia-hsing (or Jiaxing), Chekiang province (now Zhejiang), China",China,3 December 2004,2004.0,"Tianjin, Tianjin Municipality, China",China,Dr. rer. nat.,Ph.D.,Universität Hamburg,Germany,1936.0,53.0,"['53', '01', '32', '58', '57', '56', '52', '81', '55', '48', '46', '26', '22', '20', '14', '00']",1935.0,198.0,1.0,43.0,1564.0,Shiing-shen Chern was a Chinese mathematician who made important contributions to geometry and algebraic topology.
637,Sergei Nikolaevich Chernikov,M,11 May 1912,1912.0,"Zagorsk, Russia",Russia,23 January 1987,1987.0,"Kiev, Ukraine",Ukraine,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1940.0,20.0,"['20', '15', '01', '65', '90', '27', '52', '09']",1939.0,122.0,1.0,12.0,157.0,Sergei Nikolaevich Chernikov was a Russian mathematician who worked in infinite group theory and linear inequalities.
638,Herman Chernoff,M,1 July 1923,1923.0,"New York City, New York, USA",United States,,,,,Ph.D.,Ph.D.,Brown University,United States,1948.0,62.0,"['62', '60', '93', '65', '01', '92', '90', '68', '36', '27']",1946.0,83.0,1.0,26.0,290.0,Herman Chernoff is an American mathematician and statistician who worked in sequential analysis and optimal design.
639,Edward Colin Cherry,M,23 June 1914,1914.0,"St Albans, England",United Kingdom,23 November 1979,1979.0,"London, England",United Kingdom,D.Sc.,Ph.D.,Imperial College London,United Kingdom,1956.0,78.0,"['78', '68']",1951.0,2.0,1.0,5.0,526.0,"Colin Cherry was an English scientist who worked on electric circuits, telecommunication principles and the psychology of speech and hearing."
640,Thomas Macfarland Cherry,M,21 May 1898,1898.0,"Glen Iris, Melbourne, Australia",Australia,21 November 1966,1966.0,"Melbourne, Australia",Australia,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1924.0,76.0,"['76', '42', '36', '34', '33', '65', '45', '40', '30', '01']",1947.0,23.0,2.0,2.0,9.0,Thomas MacFarland Cherry was an Australian mathematician who was Professor of Mathematics at the University of Melbourne for many years.
641,Salvatore Cherubino,M,3 June 1885,1885.0,"Naples, Italy",Italy,2 August 1970,1970.0,"Pisa, Italy",Italy,,,,,,90.0,"['90', '14', '09', '15', '45', '65', '46', '34', '30', '20']",1939.0,45.0,,,,Salvatore Cherubino was an Italian mathematician who worked on algebraic geometry and probability theory.
642,Claude Chevalley,M,11 February 1909,1909.0,"Johannesburg, Transvaal, South Africa",South Africa,28 June 1984,1984.0,"Paris, France",France,Ph.D.,Ph.D.,Université de Paris,France,1933.0,20.0,"['20', '09', '14', '01', '11', '10', '56', '17', '22', '12', '00']",1933.0,74.0,1.0,14.0,479.0,Claude Chevalley had a major influence on the development of several areas of mathematics including Ring Theory and Group Theory.
643,Jia Xian,M,about 1010,1010.0,China,China,about 1070,1070.0,China,China,,,,,,,,,,,,,Jia Xian was a Chinese scholar who wrote some early arithmetic books. He had an early version of Pascal's triangle.
644,Frances Chick Wood,F,25 December 1883,1883.0,"London, England",United Kingdom,12 October 1919,1919.0,"London, England",United Kingdom,,,,,,,,,,,,,"Frances Wood was an English chemist and statistician who became a fellow of the Royal Statistical Society in 1913. She was awarded the Order of the British Empire in 1917, and an officer in the order in 1918."
645,Charles Bernard Childs,M,23 June 1895,1895.0,"Wandsworth, London, England",United Kingdom,4 July 1956,1956.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,Bernard Childs studied at Birmingham University and then became a lecturer in Physics at Edinburgh University. He was active in adult education.
646,Mineo Chini,M,8 May 1866,1866.0,"Massa, Tuscany, Italy",Italy,11 November 1933,1933.0,"Florence, Italy",Italy,,,,,,,,,,,,,Mineo Chini was an Italian mathematician who worked on the foundations of mathematics.
647,Grace Chisholm Young,F,15 March 1868,1868.0,"Haslemere (near London), England",United Kingdom,29 March 1944,1944.0,"Croydon, Surrey, England",United Kingdom,Ph.D.,Ph.D.,Georg-August-Universität Göttingen,Germany,1895.0,1.0,"['01', '04']",1910.0,11.0,1.0,0.0,0.0,Grace Chisholm Young was an English mathematician who together with her husband William Young wrote many mathematical articles and several books.
648,Oscar Chisini,M,14 March 1889,1889.0,"Bergamo, Italy",Italy,10 April 1967,1967.0,"Milan, Italy",Italy,,,,,,76.0,"['76', '37', '86', '68', '58', '00']",1989.0,10.0,,,,Oscar Chisini was an Italian mathematician who worked in algebraic geometry.
649,Letitia Chitty,F,15 July 1897,1897.0,"Kensington, London, England",United Kingdom,29 September 1982,1982.0,"Englefield Green, Surrey, England",United Kingdom,,,,,,73.0,['73'],1947.0,1.0,,,,"Letitia Chitty began studying the mathematical tripos but, after war work during World War I, she studied the mechanical sciences tripos. She became a civil engineer, applying mathematical theory and carrying out experiments."
650,Choi Seok-jeong,M,2 July 1646,1646.0,"Chopyeong-myeon, Jincheon-gun, South Korea",South Korea,6 December 1715,1715.0,"Chopyeong-myeon, Jincheon-gun, South Korea",South Korea,,,,,,,,,,,,,Choi Seok-jeong was a Korean politician and mathematician who was the first to find orthogonal Latin squares. He constructed magic squares and invented the Hexagonal Tortoise Problem.
651,Andre-Louis Cholesky,M,15 October 1875,1875.0,"Montguyon, Charentes Maritime, France",France,31 August 1918,1918.0,North France,France,,,,,,,,,,,,,André-Louis Cholesky was a French military officer and mathematician who devised a clever method of dealing with geodesic measurements.
652,Gustave Alfred Arthur Choquet,M,1 March 1915,1915.0,"Solesmes, near Valenciennes, Nord, France",France,14 November 2006,2006.0,"Lyon, France",France,Ph.D.,Ph.D.,École Normale Supérieure Paris,France,1946.0,46.0,"['46', '31', '27', '56', '54', '53', '01', '00', '10', '28', '04', '58', '49', '36', '90', '48', '47', '43', '42', '30', '26', '03']",1940.0,151.0,1.0,22.0,1431.0,"Gustave Choquet was a French mathematician who worked in functional analysis, potential theory, topology and measure theory."
653,Wei-Liang Chow,M,1 October 1911,1911.0,"Shanghai, China",China,10 August 1995,1995.0,"Baltimore, Maryland, USA",United States,Ph.D.,Ph.D.,Universität Leipzig,Germany,1936.0,14.0,"['14', '32', '01', '79', '53', '36', '30', '09']",1937.0,35.0,2.0,2.0,2.0,Chow Wei-Liang was a Chinese mathematician known for his work in algebraic geometry.
654,Sarvadaman Chowla,M,22 October 1907,1907.0,"London, England",United Kingdom,10 December 1995,1995.0,"Laramie, Wyoming, USA",United States,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1931.0,10.0,"['10', '12', '11', '09', '20', '05', '01', '42', '40', '33']",1930.0,243.0,1.0,25.0,152.0,"Sarvadaman Chowla was a British-born Indian American mathematician, specializing in number theory."
655,Charles Chree,M,5 May 1860,1860.0,"Lintrathen, Angus, Scotland",United Kingdom,12 August 1928,1928.0,"Worthing, Sussex, England",United Kingdom,,,,,,,,,,,,,Charles Chree studied in Aberdeen and Cambridge. He became Superintendent of Kew Observatory and worked on terrestrial magnetism.
656,Sylvia de Neymet,F,19 February 1938,1938.0,"Mexico City, Mexico",Mexico,13 January 2003,2003.0,"Mexico City, Mexico",Mexico,,,,,,54.0,"['54', '57', '18', '55', '51', '22']",1967.0,10.0,,,,"Sylvia de Neymet was the first Mexican woman to be awarded a Ph.D. in mathematics in 1966. She taught university courses for almost 40 years, published several excellent papers and one book."
657,Bent Christiansen,M,7 May 1921,1921.0,"Aalborg, Denmark",Denmark,3 September 1996,1996.0,"Copenhagen, Denmark",Denmark,,,,,,,,,,0.0,1.0,13.0,Bent Christiansen was a Danish mathematician important in the development of mathematical education in Denmark.
658,Elwin Bruno Christoffel,M,10 November 1829,1829.0,"Montjoie Aachen (now Monschau), Germany",Germany,15 March 1900,1900.0,"Strasbourg, France",France,Ph.D.,Ph.D.,Universität Berlin,Germany,1856.0,,,,,1.0,2.0,1967.0,"Elwin Christoffel published works on conformal mappings, Riemann's o-function, the theory of invariants, and the Christoffel reduction theorem."
659,Chrysippus of Soli,M,280 BC,-279.0,"Soli, Cilicia, Asia Minor (now Soloi, Turkey)",Turkey,206 BC,-205.0,"Athens, Greece",Greece,,,,,,,,,,,,,Chrysippus was a Greek philosopher who is considered the cofounder of Stoicism.
660,George Chrystal,M,8 March 1851,1851.0,"Old Meldrum (near Aberdeen), Scotland",United Kingdom,3 November 1911,1911.0,"Edinburgh, Scotland",United Kingdom,B.A.,B.A.,University of Cambridge,United Kingdom,1875.0,0.0,['00'],1959.0,1.0,1.0,1.0,658.0,George Chrystal is best remembered today for Algebra: a two volume work which was completed by 1889. He was also involved in educational reform throughout his career and was a major figure in setting up an educational system in Scotland.
661,Zhu Shijie,M,about 1260,1260.0,"Yan-shan, near Peking (now Beijing) China",China,about 1320,1320.0,Not known,,,,,,,,,,,,,,Zhu Shijie or Chu Shih-Chieh was a Chinese mathematician who developed methods for handling simultaneous equations.
662,Rolando Chuaqui Kettlun,M,30 December 1935,1935.0,"Santiago de Chile, Chile",Chile,22 April 1994,1994.0,"Santiago de Chile, Chile",Chile,,,,,,3.0,"['03', '60', '28', '90', '62', '00', '54', '26', '06', '04', '02', '01']",1965.0,34.0,,,,Rolando Chuaqui was a Chilean mathematician who trained first as a medic before turning to mathematics. He was an active researcher and important figure in the development of mathematical logic in Chile.
663,Nikolai Grigor'evich Chudakov,M,14 December 1904,1904.0,"Lysovsk, Novo-Burassk, Saratov, Russia",Russia,22 November 1986,1986.0,"Saratov, Russia",Russia,Ph.D.,Ph.D.,,,,10.0,"['10', '01', '11', '12']",1942.0,39.0,0.0,1.0,4.0,Nikolai Chudakov was a Russian mathematician who worked in number theory.
664,Li Chunfeng,M,602,602.0,"Shaanxi province, China",China,670,670.0,"Chang'an, China",China,,,,,,,,,,,,,Li Chunfeng was a Chinese mathematician who worked in astronomy and calendar reform.
665,Fan Rong K Chung Graham,F,9 October 1949,1949.0,"Kaohsiung, Taiwan",Taiwan,,,,,Ph.D.,Ph.D.,University of Pennsylvania,United States,1974.0,5.0,"['05', '68', '94', '11', '58', '52', '60', '91', '90', '62', '20', '15', '10', '82', '53', '35', '32', '31', '06', '01']",1973.0,302.0,1.0,19.0,43.0,Fan Chung is a Taiwanese-born American mathematician who works mainly in graph theory.
666,Nicolas Chuquet,M,1445,1445.0,"Paris, France",France,1488,1488.0,"Lyon, France",France,,,,,,,,,,,,,Nicolas Chuquet was a French mathematician who wrote the earliest French algebra book.
667,Alonzo Church,M,14 June 1903,1903.0,"Washington, D.C., USA",United States,11 August 1995,1995.0,"Hudson, Ohio, USA",United States,Ph.D.,Ph.D.,Princeton University,United States,1927.0,2.0,"['02', '03', '35', '60']",1924.0,46.0,1.0,36.0,6473.0,Alonzo Church made important contributions to mathematical logic and theoretical computer science.
668,Gianfranco Luigi Giuseppe Cimmino,M,12 March 1908,1908.0,"Naples, Italy",Italy,30 May 1989,1989.0,"Bologna, Italy",Italy,,,,,,35.0,"['35', '36', '46', '31', '01', '65', '30', '15', '53', '42', '26']",1940.0,36.0,,,,"Gianfranco Cimmino was an Italian mathematician who worked in mathematical analysis, numerical analysis and the theory of elliptic partial differential equations."
669,Michele Cipolla,M,28 October 1880,1880.0,"Palermo, Italy",Italy,7 September 1947,1947.0,"Palermo, Italy",Italy,,,,,,13.0,"['13', '81', '16', '01']",1968.0,5.0,,,,Michele Cipolla was an Italian mathematician who worked in number theory.
670,Tullio Levi-Civita,M,29 March 1873,1873.0,"Padua, Veneto, Italy",Italy,29 December 1941,1941.0,"Rome, Italy",Italy,Ph. D.,Ph.D.,Università degli Studi di Padova,Italy,1893.0,1.0,"['01', '83', '71', '53', '78', '76', '34']",1906.0,22.0,1.0,13.0,264.0,Tullio Levi-Civita was an Italian mathematician who is best known for his work on the absolute differential calculus and the theory of tensors. He had problems later in his life with the rise of Fascism in Italy.
671,Alexis Claude Clairaut,M,7 May 1713,1713.0,"Paris, France",France,17 May 1765,1765.0,"Paris, France",France,,,,,,,,,,,,,Alexis Clairaut was a French mathematician who worked to confirm the Newton-Huygens belief that the Earth was flattened at the poles.
672,Benoit Paul Émile Clapeyron,M,26 January 1799,1799.0,"Paris, France",France,28 January 1864,1864.0,"Paris, France",France,,,,,,,,,,,,,Émile Clapeyron was a French engineer who designed steam locomotives and worked on the theory of heat.
673,John Brown Clark,M,30 April 1861,1861.0,"West Linton, Peebleshire, Scotland",United Kingdom,19 July 1947,1947.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,John Clark graduated from Edinburgh University and became a teacher at George Heriot's School in Edinburgh. He went on to become Rector of this school.
674,Joan Elisabeth Lowther Clarke Murray,F,24 June 1917,1917.0,"London, England",United Kingdom,4 September 1996,1996.0,"Headington, Oxfordshire, England",United Kingdom,,,,,,,,,,,,,Joan Clarke was one of the English mathematicians recruited to work on wartime German codes with Alan Turing at Bletchley Park.
675,Samuel Clarke,M,11 October 1675,1675.0,"Norwich, England",United Kingdom,17 May 1729,1729.0,"London, England",United Kingdom,,,,,,1.0,['01'],1990.0,1.0,,,,Samuel Clarke was an English clergyman who wrote on mechanics as well as philosophy and metaphysics.
676,Thomas Clausen,M,16 January 1801,1801.0,"Snogbaek, Denmark",Denmark,23 May 1885,1885.0,"Dorpat, Russia (now Tartu, Estonia)",Estonia,,,,,,,,,,,,,"Thomas Clausen was a Danish mathematician who wrote over 150 papers on pure mathematics, applied mathematics, astronomy and geophysics."
677,Rudolf Julius Emmanuel Clausius,M,2 January 1822,1822.0,"Koslin, Prussia (now Koszalin, Poland)",Poland,24 August 1888,1888.0,"Bonn, Germany",Germany,Philosophiae Dr.,Ph.D.,Martin-Luther-Universität Halle-Wittenberg,Germany,1848.0,,,,,1.0,1.0,532.0,Rudolf Clausius did important work in thermodynamics.
678,Christopher Clavius,M,25 March 1538,1538.0,Bamberg (now in Germany),Germany,2 February 1612,1612.0,Rome (now in Italy),Italy,,,,,,1.0,['01'],2002.0,1.0,,,,Christopher Clavius was a German Jesuit astronomer who helped Pope Gregory XIII to introduce what is now called the Gregorian calendar.
679,William Waldron Schieffelin Claytor,M,4 January 1908,1908.0,"Norfolk, Virginia, USA",United States,14 July 1967,1967.0,"Washington, D.C., USA",United States,Ph.D.,Ph.D.,University of Pennsylvania,United States,1933.0,,[],1933.0,3.0,1.0,0.0,0.0,Schieffelin Claytor was an American mathematician specialising in topology.
680,Rudolf Friedrich Alfred Clebsch,M,19 January 1833,1833.0,"Königsberg, East Prussia (now Kaliningrad, Russia)",Russia,7 November 1872,1872.0,"Göttingen, Germany",Germany,Dr. phil.,Ph.D.,Universität Königsberg,Germany,1854.0,1.0,['01'],1857.0,35.0,1.0,4.0,1554.0,Alfred Clebsch was a German mathematician worked on algebraic geometry and was a co-founder of Mathematische Annalen.
681,Cleomedes,M,1st century AD,1.0,"possibly Lysimachia, Hellespont, Greece (now Turkey)",Greece,1st century AD,1.0,,,,,,,,,,,,,,,Cleomedes was a Greek astronomer who wrote an influential work: On the Circular Motions of the Celestial Bodies.
682,Agnes Mary Clerke,F,10 February 1842,1842.0,"Skibbereen, Co. Cork, Ireland",Ireland,20 January 1907,1907.0,"London, England",United Kingdom,,,,,,,,,,,,,Agnes Mary Clerke was an Irish astronomer and writer on both astronomy and biography.
683,Alfred Hoblitzelle Clifford,M,11 July 1908,1908.0,"St Louis, Missouri, USA",United States,27 December 1992,1992.0,"New Orleans, Louisiana, USA",United States,Ph.D.,Ph.D.,California Institute of Technology,United States,1933.0,20.0,"['20', '22', '06']",1933.0,55.0,1.0,5.0,21.0,Alfred H Clifford was an American mathematician who worked in group theory and semigroup theory.
684,William Kingdon Clifford,M,4 May 1845,1845.0,"Exeter, Devon, England",United Kingdom,3 March 1879,1879.0,"Madeira Islands, Portugal",Portugal,,,,,,1.0,['01'],1871.0,4.0,,,,William Clifford was an English mathematician who studied non-euclidean geometry arguing that energy and matter are simply different types of curvature of space. He introduced what is now called a Clifford algebra which generalises Grassmann's exterior algebra.
685,James Gourlay Clunie,M,26 October 1926,1926.0,"St Andrews, Fife, Scotland",United Kingdom,5 March 2013,2013.0,"York, England",United Kingdom,Ph.D.,Ph.D.,University of Aberdeen,United Kingdom,1952.0,30.0,"['30', '40', '31', '65', '42', '41', '28', '27', '10']",1952.0,82.0,1.0,10.0,77.0,James Clunie was a Scottish-born mathematician who worked in complex analysis.
686,John Henry Coates,M,26 January 1945,1945.0,"Possum Brush, Manning Valley, New South Wales, Australia",Australia,9 May 2022,2022.0,"Cambridge, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1969.0,11.0,"['11', '10', '12', '01', '14', '00']",1966.0,97.0,1.0,36.0,499.0,John Coates was an Australian mathematician who was the Sadleirian Professor at Cambridge and worked in algebraic number theory.
687,Anne Philippa Cobbe,F,7 August 1920,1920.0,"Colworth, Sharnbrook, Bedfordshire, England",United Kingdom,15 December 1971,1971.0,"Oxford, England",United Kingdom,D.Phil.,Ph.D.,University of Oxford,United Kingdom,1952.0,56.0,"['56', '20', '18']",1951.0,3.0,1.0,0.0,0.0,Anne Cobb was an English mathematician who worked in algebra.
688,Arthur Byron Coble,M,3 November 1878,1878.0,"Williamstown, Pennsylvania, USA",United States,8 December 1966,1966.0,"Harrisburg, Pennsylvania, USA",United States,Ph.D.,Ph.D.,The Johns Hopkins University,United States,1902.0,14.0,"['14', '09', '20', '01']",1902.0,24.0,1.0,27.0,208.0,Arthur Coble was an American mathematician who worked on finite geometries and group theory.
689,William Gemmell Cochran,M,15 July 1909,1909.0,"Rutherglen, Scotland",United Kingdom,29 March 1980,1980.0,"Orleans, Massachusetts, USA",United States,M.A.,M.A.,University of Glasgow,United Kingdom,1931.0,62.0,"['62', '01']",1940.0,47.0,1.0,26.0,472.0,William Cochran was a Scottish born mathematician who did much to promote statistics in the USA. He wrote a number of books which became statistics classics.
690,Edward Cocker,M,1631,1631.0,England,United Kingdom,22 August 1676,1676.0,"London, England",United Kingdom,,,,,,,,,,,,,Edward Cocker was an English scholar who was the author of an influential arithmetic text which ran to more than 100 editions.
691,James Cockle,M,14 January 1819,1819.0,"Great Oakley, Essex, England",United Kingdom,27 January 1895,1895.0,"Bayswater, London, England",United Kingdom,,,,,,,,,,,,,"James Cockle was an English lawyer and mathematician who wrote papers on both pure and applied mathematics, as well as on the history of science. He became Chief Justice of Queensland."
