,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
2942,Helge Arnulf Tverberg,M,6 March 1935,1935.0,"Bergen, Norway",Norway,28 December 2020,2020.0,"Bergen, Norway",Norway,,,,,,52.0,"['52', '05', '12', '01', '51', '15', '11', '10', '04', '57', '39', '30', '06', '03']",1958.0,43.0,,,,Helge Tverberg was a Norwegian mathematician who worked in combinatorics.
2943,Charles Tweedie,M,27 June 1868,1868.0,"Swinton, Berwickshire, Scotland",United Kingdom,14 September 1925,1925.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,"Charles Tweedie studied at Edinburgh, Göttingen and Berlin. He returned to Edinburgh as assistant to Chrystal. He served as a Schools Inspector and published works on the History of Mathematics."
2944,David Tweedie,M,20 April 1865,1865.0,"Swinton School House, Swinton, Berwickshire, Scotland",United Kingdom,22 March 1934,1934.0,"Edinburgh, Scotland",United Kingdom,,,,,,,,,,,,,David Tweedie graduated from Edinburgh University and taught at George Watson's College in Edinburgh. He spent more than 30 years teaching in various institutions in Egypt.
2945,David Jackson Tweedie,M,17 October 1870,1870.0,"Edinburgh, Scotland",United Kingdom,25 August 1926,1926.0,"Stichill, Roxburgh, Scotland",United Kingdom,,,,,,,,,,,,,David J Tweedie graduated with an Ordinary degree from Edinburgh University and then taught at George Heriot's Hospital School in Edinburgh. He became headmaster of the school at Kilconquhar in Fife.
2946,Hoàng Tụy,M,7 December 1927,1927.0,"Xuan Dài village, Diên Bàn, Vietnam",Vietnam,14 July 2019,2019.0,"Hanoi, Vietnam",Vietnam,,,,,,,,,,,,,Hoàng Tụy was a Vietnamese mathematician who was one of the founders of higher education in Vietnam. He was the first secretary of the Vietnamese Mathematical Society.
2947,Olabisi Oreofe Ugbebor,F,29 January 1951,1951.0,"Lagos, Nigeria",Niger,,,,,Ph.D.,Ph.D.,University of London,United Kingdom,1976.0,60.0,"['60', '91', '90', '62', '35']",1976.0,15.0,1.0,2.0,10.0,"Olabisi Ugbebor is the first female professor of mathematics in Nigeria. She has written many papers on Brownian motion and on economics, and is a co-author of books such as Further Mathematics, Analytical Geometry and Mechanics, and Fundamentals of Abstract Algebra."
2948,George Eugene Uhlenbeck,M,6 December 1900,1900.0,"Batavia, Java (now Jakarta, Indonesia)",Indonesia,31 October 1988,1988.0,"Boulder, Colorado, USA",United States,Ph.D.,Ph.D.,Universiteit Leiden,Netherlands,1927.0,82.0,"['82', '81', '80', '79', '56', '01', '76', '60', '54', '09', '05']",1940.0,31.0,1.0,10.0,198.0,George Uhlenbeck was an Indonesian born American theoretical physicist who worked in quantum mechanics and introduced the idea of electron spin.
2949,Karen Keskulla Uhlenbeck,F,24 August 1942,1942.0,"Cleveland, Ohio, USA",United States,,,,,Ph.D.,Ph.D.,Brandeis University,United States,1968.0,58.0,"['58', '53', '57', '37', '01', '35', '32', '83', '49', '00']",1968.0,74.0,1.0,19.0,69.0,Karen Uhlenbeck is an American mathematician who is a leading expert on partial differential equations. In 2019 she became the first female winner of the Abel Prize.
2950,Stanislaw Marcin Ulam,M,13 April 1909,1909.0,"Lemberg, Austrian Empire (now Lviv, Ukraine)",Austria,13 May 1984,1984.0,"Santa Fe, New Mexico, USA",Mexico,Ph.D.,Ph.D.,Politechnika Lwowska,Poland,1933.0,1.0,"['01', '00', '46', '68', '65', '60', '92', '27', '05', '82', '10', '04', '90', '83', '76', '20', '09', '06', '03']",1931.0,63.0,2.0,5.0,77.0,Stan Ulam solved the problem of how to initiate fusion in the hydrogen bomb. He also devised the 'Monte-Carlo method' widely used in solving mathematical problems using statistical sampling.
2951,Francis Robbins Upton,M,26 July 1852,1852.0,"Peabody, Massachusetts, USA",United States,10 March 1921,1921.0,"Orange, New Jersey, USA",United States,,,,,,,,,,,,,"Francis Upton was an American physicist and mathematician who worked with Thomas Edison in the development of incandescent light bulbs, electric generators, and electric power distribution."
2952,Kazimierz Urbanik,M,5 February 1930,1930.0,"Krzemieniec, Poland (now Ukraine)",Poland,29 May 2005,2005.0,"Wrocław, Poland",Poland,Ph.D.,Ph.D.,Uniwersytet Wrocławski,Poland,1956.0,60.0,"['60', '08', '81', '46', '94', '22', '82', '28', '27', '26', '17', '56', '42', '01', '92', '62', '45', '33', '30', '11', '00']",1953.0,175.0,1.0,9.0,37.0,Kazimierz Urbanik was a Polish mathematician (born in what is now Ukraine) best known for his work in stochastic processes and probability theory.
2953,Manuel Valdivia Urena,M,12 November 1928,1928.0,"Martos, Jaén, Spain",Spain,29 April 2014,2014.0,"Valencia, Spain",Spain,Ph.D.,Ph.D.,Universidad Complutense de Madrid,Spain,1963.0,46.0,"['46', '26', '54', '58', '40', '30', '01']",1963.0,193.0,1.0,32.0,221.0,Manuel Valdivia was a Spanish mathematician who worked in topology and analysis.
2954,Fritz Joseph Ursell,M,28 April 1923,1923.0,"Düsseldorf, Germany",Germany,11 May 2012,2012.0,"Manchester, England",United Kingdom,B.S.,B.Sc.,University of Cambridge,United Kingdom,1943.0,76.0,"['76', '41', '33', '78', '45', '01', '86', '65', '44', '42', '36', '31', '30']",1947.0,59.0,0.0,4.0,53.0,Fritz Ursell was a German-born mathematician who moved to England and became a leading expert in the mathematical modelling of waves.
2955,Pavel Samuilovich Urysohn,M,3 February 1898,1898.0,"Odessa, Ukraine",Ukraine,17 August 1924,1924.0,"Batz-sur-Mer, France",France,Ph.D.,Ph.D.,Lomonosov Moscow State University,Russia,1921.0,56.0,"['56', '54', '01']",1924.0,4.0,1.0,0.0,0.0,Pavel Urysohn was a Ukranian mathematician who proved important results in general topology and dimension theory.
2956,Giovanni Enrico Eugenio Vacca,M,18 November 1872,1872.0,"Genoa, Italy",Italy,6 January 1953,1953.0,"Rome, Italy",Italy,Ph.D.,Ph.D.,Università di Genova,Italy,1897.0,1.0,"['01', '02']",1940.0,3.0,1.0,0.0,0.0,Giovanni Vacca was an Italian mathematician and historian of science. He was interested in the history of Chinese science.
2957,Viktor Vladimirovich Vagner,M,4 November 1908,1908.0,"Saratov, Russia",Russia,16 August 1981,1981.0,"Brest, Belarus, USSR",Belarus,,,,,,53.0,"['53', '20', '08', '49', '58', '06', '71', '36', '18', '14', '09', '01']",1940.0,82.0,,,,Viktor Vladimirovich Wagner was a Russian mathematician who worked in differential geometry and on semigroups.
2958,Giovanni Vailati,M,24 April 1863,1863.0,"Crema, Italy",Italy,14 May 1909,1909.0,"Rome, Italy",Italy,,,,,,1.0,['01'],1987.0,1.0,,,,"Giovanni Vailati was an Italian philosopher, historian of science, and mathematician."
2959,Steven Vajda,M,20 August 1901,1901.0,"Budapest, Hungary",Hungary,10 December 1995,1995.0,"Brighton, Sussex, England",United Kingdom,,,,,,90.0,"['90', '62', '60', '05', '93', '68', '15', '11', '09', '01', '00']",1939.0,48.0,,,,Steven Vajda was a Hungarian mathematician who played an important role in the development of mathematical programming and operational research.
